0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
0.24,0.22,0.22,0.24,0.24,0.24,0.22,0.2,0.24,0.32,0.38,0.36,0.42,0.46,0.46,0.44,0.42,0.44,0.42,0.42,0.4,0.4,0.4,0.46
0.2879,0.2727,0.2727,0.2879,0.2879,0.2576,0.2727,0.2576,0.2879,0.3485,0.3939,0.3333,0.4242,0.4545,0.4545,0.4394,0.4242,0.4394,0.4242,0.4242,0.4091,0.4091,0.4091,0.4545
0.81,0.8,0.8,0.75,0.75,0.75,0.8,0.86,0.75,0.76,0.76,0.81,0.77,0.72,0.72,0.77,0.82,0.82,0.88,0.88,0.87,0.87,0.94,0.88
0.0,0.0,0.0,0.0,0.0,0.0896,0.0,0.0,0.0,0.0,0.2537,0.2836,0.2836,0.2985,0.2836,0.2985,0.2985,0.2836,0.2537,0.2537,0.2537,0.194,0.2239,0.2985
3.0,8.0,5.0,3.0,0.0,0.0,2.0,1.0,1.0,8.0,12.0,26.0,29.0,47.0,35.0,40.0,41.0,15.0,9.0,6.0,11.0,3.0,11.0,15.0
13.0,32.0,27.0,10.0,1.0,1.0,0.0,2.0,7.0,6.0,24.0,30.0,55.0,47.0,71.0,70.0,52.0,52.0,26.0,31.0,25.0,31.0,17.0,24.0
16.0,40.0,32.0,13.0,1.0,1.0,2.0,3.0,8.0,14.0,36.0,56.0,84.0,94.0,106.0,110.0,93.0,67.0,35.0,37.0,36.0,34.0,28.0,39.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
